Taille_mat;Run_ID;Eff
10000;0;0.18844155844155844
10000;1;0.383051742344245
10000;2;0.38631522896698617
10000;3;0.22973400886637113
10000;4;0.3030492898913952
20000;0;0.3270866560340245
20000;1;0.27442016057091884
20000;2;0.28183692166743013
20000;3;0.23782373405488982
20000;4;0.3135830784913354
30000;0;0.40493601462522855
30000;1;0.42335626911314983
30000;2;0.4220655487804878
30000;3;0.5143985137018114
30000;4;0.37980109739369
40000;0;0.43510452961672474
40000;1;0.452445652173913
40000;2;0.42741015402167715
40000;3;0.47541243654822335
40000;4;0.4483842010771993
50000;0;0.4945207288090837
50000;1;0.4761632341723875
50000;2;0.6090243902439024
50000;3;0.472558667676003
50000;4;0.5032921257726417
60000;0;0.4875664187035069
60000;1;0.5787083753784057
60000;2;0.4799163179916318
60000;3;0.49280343716433944
60000;4;0.4937580714593198
70000;0;0.528955634079309
70000;1;0.4928662886409365
70000;2;0.4987967419474269
70000;3;0.5594892026578073
70000;4;0.5090685811449084
80000;0;0.6047100038925652
80000;1;0.6318893634329876
80000;2;0.5365221896045588
80000;3;0.5717703349282297
80000;4;0.5705104663973558
90000;0;0.6595260663507109
90000;1;0.6701984203429012
90000;2;0.5679072804440092
90000;3;0.6591511936339522
90000;4;0.6707152496626181
100000;0;0.6207946171099007
100000;1;0.6004958933829226
100000;2;0.6069862155388471
100000;3;0.6400726792203502
100000;4;0.6503860355824103
110000;0;0.5917064846416382
110000;1;0.7145153313550939
110000;2;0.6170629271070615
110000;3;0.6089140207923575
110000;4;0.6256134526558892
120000;0;0.6362811028917283
120000;1;0.6262576118612656
120000;2;0.6680906651602881
120000;3;0.6341487935656837
120000;4;0.687708969326937
130000;0;0.6304010429600199
130000;1;0.6185733430799221
130000;2;0.6536109680741503
130000;3;0.7081241283124128
130000;4;0.700503587196468
140000;0;0.6828550404709345
140000;1;0.5992251399052949
140000;2;0.683861459100958
140000;3;0.6828550404709345
140000;4;0.6773722627737226
150000;0;0.6383046189620547
150000;1;0.6278852152214598
150000;2;0.6617357001972387
150000;3;0.6341489026567259
150000;4;0.6295871559633027
160000;0;0.5956689616672869
160000;1;0.6559010347300481
160000;2;0.623211330672637
160000;3;0.6594818706221672
160000;4;0.5748114562758125
170000;0;0.6758556070618404
170000;1;0.6023116814626
170000;2;0.6937835375113901
170000;3;0.6631023804915812
170000;4;0.661821518253815
180000;0;0.6831494864967669
180000;1;0.657393850658858
180000;2;0.6904372897645363
180000;3;0.6057335581787521
180000;4;0.5722023098367185
190000;0;0.6933785145159813
190000;1;0.6866497369853074
190000;2;0.5947368421052631
190000;3;0.6137321660181583
190000;4;0.603940650925335
200000;0;0.6980786026200874
200000;1;0.7109312461086899
200000;2;0.7036091549295774
200000;3;0.6554325543255433
200000;4;0.7245286439448876
210000;0;0.732713451297028
210000;1;0.6625436893203883
210000;2;0.7021359782698164
210000;3;0.7034677552366815
210000;4;0.6921095334685599
220000;0;0.6989211715220439
220000;1;0.6510957114868297
220000;2;0.646218941303565
220000;3;0.6600522289245255
220000;4;0.683533937685686
230000;0;0.6809490858766115
230000;1;0.6782812159907132
230000;2;0.6493089317960828
230000;3;0.6856938536012909
230000;4;0.6952294192013089
240000;0;0.6556821991283942
240000;1;0.6218287022318306
240000;2;0.6044563940911057
240000;3;0.5273673425366695
240000;4;0.6066311022889399
250000;0;0.688256576722797
250000;1;0.6841848739495798
250000;2;0.6627108159145666
250000;3;0.7081303924297244
250000;4;0.7079826086956522
260000;0;0.7202051282051282
260000;1;0.7025747065101388
260000;2;0.6943766893005472
260000;3;0.6892422457793482
260000;4;0.6931429323506186
270000;0;0.7143785329088428
270000;1;0.6811423615413208
270000;2;0.6554787170621199
270000;3;0.6765321191238002
270000;4;0.6840664468363093
280000;0;0.688011346670648
280000;1;0.622003563330094
280000;2;0.6137199019816748
280000;3;0.6917292104473132
280000;4;0.630479395829913
290000;0;0.7110834371108343
290000;1;0.7050626212735932
290000;2;0.6918815994460793
290000;3;0.7206129807692307
290000;4;0.717165071770335
300000;0;0.6375666120106579
300000;1;0.6391714182976319
300000;2;0.6936144712637271
300000;3;0.7050116153889738
300000;4;0.7479412118297668
310000;0;0.7632869627251649
310000;1;0.7154379806084922
310000;2;0.626671710269426
310000;3;0.6222677264576164
310000;4;0.7078256794751641
320000;0;0.7262904997254256
320000;1;0.6972296905477358
320000;2;0.6162403317491381
320000;3;0.7184393503177794
320000;4;0.7092315529815529
330000;0;0.746208388085852
330000;1;0.7383254780865702
330000;2;0.7506885155604517
330000;3;0.6742233105768279
330000;4;0.6190384265988372
340000;0;0.6906219392752204
340000;1;0.668872130525517
340000;2;0.7495349455221897
340000;3;0.7239104768749037
340000;4;0.7110265201169709
350000;0;0.7188056600039581
350000;1;0.7411365607305004
350000;2;0.7186989859015582
350000;3;0.7321356581334408
350000;4;0.717421361908054
360000;0;0.766403355290243
360000;1;0.7294646355799373
360000;2;0.7355534153207882
360000;3;0.726050604524181
360000;4;0.7158943421621882
370000;0;0.7469820872274143
370000;1;0.7508562481651825
370000;2;0.6214465052239411
370000;3;0.7532148817119859
370000;4;0.6267254757820796
380000;0;0.7172968771432491
380000;1;0.7454502257068187
380000;2;0.7131881620220939
380000;3;0.7297083585283036
380000;4;0.7255908607372462
390000;0;0.7365048148650482
390000;1;0.7149455806196787
390000;2;0.7371380090497738
390000;3;0.7437000684775166
390000;4;0.7385750555379245
400000;0;0.7303246325948672
400000;1;0.7103797738425432
400000;2;0.7364305936477041
400000;3;0.7414157833793533
400000;4;0.7447324863559095
410000;0;0.7390873869995696
410000;1;0.7261768811064586
410000;2;0.7415133454262762
410000;3;0.7349113945723825
410000;4;0.7369934752747253
420000;0;0.7265354456076105
420000;1;0.7604045159140144
420000;2;0.7699957814807002
420000;3;0.7598347348264092
420000;4;0.7454057254869931
430000;0;0.7449266062404749
430000;1;0.7744006670835939
430000;2;0.7493444144107798
430000;3;0.7423957792078021
430000;4;0.7742069942895252
440000;0;0.6430768699018388
440000;1;0.7303148060920082
440000;2;0.7517373737373737
440000;3;0.7590054256924897
440000;4;0.7353080662372051
450000;0;0.7303902738831484
450000;1;0.7545636731616334
450000;2;0.7551930256573198
