Taille_mat;Run_ID;Acc
10000;0;1.117873651771957
10000;1;1.2121971595655807
10000;2;1.3447636700648748
10000;3;1.3460111317254175
10000;4;1.2071547420965059
20000;0;1.4006829823562892
20000;1;1.3566703417861081
20000;2;1.381807973048849
20000;3;1.301427815970386
20000;4;1.0186258278145695
30000;0;1.747534516765286
30000;1;1.6818526955201214
30000;2;1.6346863468634687
30000;3;1.8597816960537363
30000;4;1.8512327622231508
40000;0;1.9070951320394527
40000;1;1.8130671506352087
40000;2;1.8263254113345522
40000;3;1.8147138964577656
40000;4;1.8125188993045056
50000;0;1.925212027756361
50000;1;1.938664596273292
50000;2;1.8736868434217109
50000;3;1.860193692575118
50000;4;1.843257874015748
60000;0;1.9515099957464908
60000;1;1.907295780503014
60000;2;1.8684585624109142
60000;3;1.6186276239195625
60000;4;1.8552365547917509
70000;0;1.9437330928764653
70000;1;1.8918729155695981
70000;2;1.9903970452446906
70000;3;1.9458385990250948
70000;4;1.6379939209726444
80000;0;1.982769623484365
80000;1;1.9580904364266583
80000;2;1.9528598365807668
80000;3;1.9761488312927333
80000;4;1.9730115891411335
90000;0;1.9840319361277445
90000;1;2.0162271805273835
90000;2;2.0101112234580385
90000;3;1.9968431625771272
90000;4;2.022086602731764
100000;0;2.0453945632092903
100000;1;2.060896157425874
100000;2;1.716880815241471
100000;3;1.9974226804123711
100000;4;2.0567940552016983
110000;0;2.010086956521739
110000;1;2.0348591549295776
110000;2;2.043734527879288
110000;3;1.9779806046776953
110000;4;1.8875340228633641
120000;0;1.9607294580872447
120000;1;2.041095890410959
120000;2;2.037579412081404
120000;3;1.9725841759616387
120000;4;2.0667321974661426
130000;0;2.0337472461446024
130000;1;2.055150779194495
130000;2;2.0635033529770372
130000;3;2.019992042967973
130000;4;2.043364523593923
140000;0;2.0781935243071756
140000;1;2.062222222222222
140000;2;1.8701822151314131
140000;3;2.0698884758364313
140000;4;2.0681586033986443
150000;0;2.0806201550387597
150000;1;2.050072137825681
150000;2;2.08961937716263
150000;3;2.096692995399705
150000;4;1.7588466579292268
160000;0;2.0679102067183464
160000;1;2.098410357259915
160000;2;2.0827098243331164
160000;3;2.102027415250759
160000;4;2.0587667818956508
170000;0;2.093644974029942
170000;1;2.0574988740429365
170000;2;2.1034456296523674
170000;3;2.110409608869726
170000;4;2.0923664122137406
180000;0;2.0766006648359587
180000;1;2.103198419088048
180000;2;2.1092190252495597
180000;3;2.0909553954740594
180000;4;2.094155370937181
190000;0;1.766551945400455
190000;1;2.0770919067215363
190000;2;2.069003211040514
190000;3;2.082090065314541
190000;4;2.1072994224479857
200000;0;2.1290537390956916
200000;1;2.133173205230851
200000;2;2.1516925768894275
200000;3;2.0974873712523783
200000;4;2.1476455968294483
210000;0;2.156963145584424
210000;1;2.1470551220739993
210000;2;2.152608668222825
210000;3;2.100141564596541
210000;4;2.108056344989497
220000;0;2.099502778590231
220000;1;2.1067738905846443
220000;2;2.1123535989641575
220000;3;2.0946016924423696
220000;4;2.147361493358861
230000;0;2.101078772895831
230000;1;2.0671641791044775
230000;2;2.1094939922152647
230000;3;2.118456832087016
230000;4;1.774461421657018
240000;0;2.1172331673522407
240000;1;2.1277128093554527
240000;2;2.0722572442655083
240000;3;2.1300299482711678
240000;4;2.11334413830362
250000;0;2.108728308728309
250000;1;2.134154652686763
250000;2;2.0851815806996874
250000;3;2.072865217169917
250000;4;2.1183847634906594
260000;0;2.1490436113236417
260000;1;2.126912009692564
260000;2;2.13889734998477
260000;3;2.139223153084539
260000;4;2.126160678239806
270000;0;2.1352624168568237
270000;1;2.1413964358749635
270000;2;2.1390010213511017
270000;3;2.1188032952738833
270000;4;2.1347441995922725
280000;0;2.115743078830173
280000;1;2.1200257625247274
280000;2;2.052329206377483
280000;3;2.1445923306031274
280000;4;2.1367366810404786
290000;0;2.136481069042316
290000;1;2.151141409158183
290000;2;2.14125
290000;3;2.141728064300067
290000;4;2.1083076923076924
300000;0;2.053513223583777
300000;1;2.1475232999654814
300000;2;1.7552193539286218
300000;3;2.1203510416222895
300000;4;2.1038593228219975
310000;0;2.2018006430868167
310000;1;2.18586933390083
310000;2;1.793567088077111
310000;3;2.11171875
310000;4;2.164404922454484
320000;0;2.1499166903726583
320000;1;2.0761744044582238
320000;2;2.157192953841135
320000;3;2.1131615737966847
320000;4;2.1454700300105443
330000;0;2.0664493385391003
330000;1;2.090379232332528
330000;2;2.1326578514983177
330000;3;2.1071856518882144
330000;4;2.13918537121331
340000;0;2.162462623629533
340000;1;2.1562631397882344
340000;2;2.1425044627596947
340000;3;2.0650900571093866
340000;4;2.120039085989176
350000;0;2.1724859813084114
350000;1;2.1841620626151013
350000;2;2.171836460124075
350000;3;2.166492693110647
350000;4;2.1649592072421115
360000;0;2.211493484797862
360000;1;2.1389946140035905
360000;2;2.089404089649609
360000;3;2.127535714285714
360000;4;2.162208268302421
370000;0;2.168586165477284
370000;1;1.787276168292328
370000;2;2.0810251890022715
370000;3;2.1703496800198
370000;4;2.0917331152456895
380000;0;2.0851997075829067
380000;1;2.1176391185502648
380000;2;2.1063372717508058
380000;3;2.094805715048738
380000;4;2.1480112274936674
390000;0;2.198185130211847
390000;1;2.166971500781484
390000;2;2.1277714285714286
390000;3;2.1950751195849896
390000;4;2.1847716757191713
400000;0;2.1678874890125988
400000;1;2.1977953067758014
400000;2;2.196780259294692
400000;3;1.8101283027074047
400000;4;2.205
410000;0;2.1903425400267906
410000;1;2.1118730588271473
410000;2;2.1151251963411255
410000;3;2.196015732420938
410000;4;2.121790712762999
420000;0;2.1838657573582196
420000;1;2.202775682606728
420000;2;2.2707367897241313
420000;3;2.243799747994714
420000;4;2.2443515416064677
430000;0;2.22810016494227
430000;1;2.1625334730469206
430000;2;2.2304413089162414
430000;3;2.2414771013093584
430000;4;2.1769169914149256
440000;0;2.121856645948566
440000;1;2.117871371656232
440000;2;2.167336478536898
440000;3;2.1711935116842196
440000;4;2.186053342732934
450000;0;2.139918969106972
450000;1;2.192729054950124
450000;2;2.2064053842360245
450000;3;2.1435979820185453
450000;4;2.1891946347360545
460000;0;2.1975305145705306
460000;1;2.201270885932314
460000;2;2.1905205510388437
460000;3;2.1446299264827813
460000;4;2.1971571764306144
470000;0;2.2137641071033416
470000;1;2.1786307336327755
470000;2;2.20528505690116
470000;3;2.1388636485114114
470000;4;2.1873240591434584
480000;0;1.7404187898771035
480000;1;2.0992175193037728
480000;2;2.1906378850351684
480000;3;2.1973886951585433
480000;4;2.1309704818329576
490000;0;2.185922869385812
490000;1;2.1893975520584963
490000;2;2.1773415887234884
490000;3;2.203113753299032
490000;4;2.1272909802306423
500000;0;2.1341710067249835
500000;1;2.176485754802114
500000;2;2.1381170689698843
500000;3;2.137900468532354
500000;4;2.1875404908134444
510000;0;2.1489605949439743
510000;1;2.179749398810277
510000;2;2.204977850613269
510000;3;2.1554693366708384
510000;4;2.1541213258286427
520000;0;2.1608965329774876
520000;1;2.2040883198064223
520000;2;2.1629811022063916
520000;3;2.1438903599097774
520000;4;2.130985743877178
530000;0;2.1458032534411395
530000;1;2.1552945157469847
530000;2;2.130677881054216
530000;3;2.191472106168592
530000;4;2.147456892399576
540000;0;2.1860492490230237
540000;1;2.2175813153746957
540000;2;2.163990585164643
540000;3;2.254461142538056
540000;4;2.255720740416849
550000;0;2.3909300064040226
550000;1;2.3910434308214144
550000;2;2.382622671835114
550000;3;2.3911001470658
550000;4;2.357657404808682
560000;0;1.7787596018112821
560000;1;2.244932901434521
560000;2;2.2498782608695653
560000;3;2.24524459665849
560000;4;1.7492878520174522
570000;0;2.301861282617513
570000;1;2.0630932665508745
570000;2;2.23546918767507
570000;3;2.2665690385852804
570000;4;2.2549612591333523
580000;0;2.180658966352977
580000;1;2.177853373457194
580000;2;2.1627614881545325
580000;3;2.1910403229344917
580000;4;2.212347429280287
590000;0;2.302966833650026
590000;1;2.314360732575297
590000;2;2.3240940489420585
590000;3;2.3250059948117627
