Taille_mat;Run_ID;Eff
10000;0;0.24112948826689284
10000;1;0.36331203407880724
10000;2;0.32287526026878666
10000;3;0.08734893486276116
10000;4;0.2174314850223072
20000;0;0.30441665347475066
20000;1;0.3007977475363679
20000;2;0.24896426721905748
20000;3;0.25196540880503143
20000;4;0.1397529069767442
30000;0;0.4026077847612747
30000;1;0.44419099756691
30000;2;0.39324178782983304
30000;3;0.3744103773584906
30000;4;0.39180706084343814
40000;0;0.4190811625022151
40000;1;0.22774219953775038
40000;2;0.3725092541545247
40000;3;0.41369281903262484
40000;4;0.31582198183760685
50000;0;0.17576035231874207
50000;1;0.4670882098813919
50000;2;0.4832588378707842
50000;3;0.46071898969551406
50000;4;0.39472286757384667
60000;0;0.32256785835629886
60000;1;0.5173154931282921
60000;2;0.4722544630520091
60000;3;0.5949380309149144
60000;4;0.6411420424701734
70000;0;0.3830327210916474
70000;1;0.4590973401245048
70000;2;0.41871838546505624
70000;3;0.44903409719915865
70000;4;0.3921424082757287
80000;0;0.4354196630367783
80000;1;0.4269112610797744
80000;2;0.4022373540856031
80000;3;0.4631344588318855
80000;4;0.3790694034522851
90000;0;0.2986407142282635
90000;1;0.32707892882311485
90000;2;0.3241096368715084
90000;3;0.28982905315744284
90000;4;0.3169576166289641
100000;0;0.31828271244127115
100000;1;0.3387338084176542
100000;2;0.33983094363471184
100000;3;0.3742604837306421
100000;4;0.36203921898670255
