Taille_mat;Run_ID;Eff
10000;0;0.09393931049675075
10000;1;0.8149784997611085
10000;2;0.7080738895807389
10000;3;0.89119644723093
10000;4;0.7374621703415478
20000;0;0.5248362445414847
20000;1;0.5516351118760757
20000;2;0.7791734197730956
20000;3;0.5416901408450704
20000;4;0.5730035756853397
30000;0;1.1207028852056475
30000;1;0.6840108654926939
30000;2;1.0402421652421652
30000;3;1.013672959466963
30000;4;1.182016833926837
40000;0;0.4119273645706323
40000;1;1.1386013480982187
40000;2;0.6905752664622573
40000;3;0.8180127983396749
40000;4;1.068628558517849
50000;0;0.7341358024691358
50000;1;0.923512967852151
50000;2;0.7108786610878661
50000;3;0.7187839961319956
50000;4;1.1057084417999257
60000;0;0.7755037211835178
60000;1;1.4729357007412516
60000;2;1.4202958776595744
60000;3;1.4576083248038212
60000;4;1.4795670995670995
70000;0;1.1268578969301293
70000;1;1.14660777385159
70000;2;1.090356182795699
70000;3;1.1734775061478373
70000;4;1.1921013960323292
80000;0;0.43622632770687525
80000;1;1.0289815489196408
80000;2;1.0970298951727708
80000;3;1.0682734719596723
80000;4;1.058138809137436
90000;0;0.7991820921222557
90000;1;0.4845993213260245
90000;2;0.5913362000318522
90000;3;0.8351327035537562
90000;4;0.4553034947884733
100000;0;0.8888831490856494
100000;1;0.8876908790755262
100000;2;0.569089826696653
100000;3;0.8912773231119859
100000;4;0.8365094798249878
