Taille;Run_ID;Eff
10000;0;0.2299164307858202
10000;1;0.887948984903696
10000;2;0.8996571729957806
10000;3;0.8861038961038961
10000;4;0.8856438213914849
20000;0;0.42459704128946785
20000;1;0.30797565663036514
20000;2;0.5329822616407982
20000;3;0.5975761342448725
20000;4;0.5878936105166616
30000;0;0.5349033108702022
30000;1;0.7614702815432742
30000;2;0.3698966670043562
30000;3;0.6719267574530733
30000;4;0.7570495542193656
40000;0;0.6127412877315714
40000;1;0.6025926869664926
40000;2;0.5302410313901346
40000;3;0.6241422538928477
40000;4;0.7416888819193979
50000;0;0.462366845501905
50000;1;0.7188708897485493
50000;2;0.6197498697238145
50000;3;0.6705570590888588
50000;4;0.6985199107247739
60000;0;0.5373899371069183
60000;1;0.874207080008185
60000;2;0.8418226600985221
60000;3;0.8038855960109136
60000;4;0.8328784481918315
70000;0;0.5276260162601626
70000;1;0.6473745112121938
70000;2;0.6516386858382199
70000;3;0.6663586331526203
70000;4;0.7104168491111306
80000;0;0.28628964166300785
80000;1;0.6156402062604401
80000;2;0.6161324320395406
80000;3;0.6076087735646191
80000;4;0.6575201675457648
90000;0;0.21525261601785559
90000;1;0.4831804281345566
90000;2;0.4725722285859743
90000;3;0.481894873458793
90000;4;0.4579710144927536
100000;0;0.24046228234439196
100000;1;0.5105025811428232
100000;2;0.4946530213304203
100000;3;0.5024528412077323
100000;4;0.5073715869552398
