Taille_mat;Run_ID;Acc
10000;0;0.375757241987003
10000;1;3.259913999044434
10000;2;2.8322955583229557
10000;3;3.56478578892372
10000;4;2.9498486813661913
20000;0;2.099344978165939
20000;1;2.206540447504303
20000;2;3.1166936790923825
20000;3;2.1667605633802816
20000;4;2.2920143027413586
30000;0;4.48281154082259
30000;1;2.7360434619707754
30000;2;4.160968660968661
30000;3;4.054691837867852
30000;4;4.728067335707348
40000;0;1.6477094582825291
40000;1;4.554405392392875
40000;2;2.7623010658490292
40000;3;3.2720511933586995
40000;4;4.274514234071396
50000;0;2.936543209876543
50000;1;3.694051871408604
50000;2;2.8435146443514645
50000;3;2.8751359845279825
50000;4;4.422833767199703
60000;0;3.1020148847340714
60000;1;5.891742802965006
60000;2;5.681183510638298
60000;3;5.830433299215285
60000;4;5.918268398268398
70000;0;4.507431587720517
70000;1;4.58643109540636
70000;2;4.361424731182796
70000;3;4.693910024591349
70000;4;4.768405584129317
80000;0;1.744905310827501
80000;1;4.115926195678563
80000;2;4.388119580691083
80000;3;4.273093887838689
80000;4;4.232555236549744
90000;0;3.1967283684890226
90000;1;1.938397285304098
90000;2;2.3653448001274087
90000;3;3.340530814215025
90000;4;1.8212139791538933
100000;0;3.5555325963425974
100000;1;3.550763516302105
100000;2;2.276359306786612
100000;3;3.5651092924479437
100000;4;3.346037919299951
